SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
99101.0 ETMA101 "APPLIED MATHEMATICS - I" 19 55 74 4
99103.0 ETPH103 "APPLIED PHYSICS - I" 15 55 70 3
99105.0 ETCH105 "ENGINEERING CHEMISTRY" 16 44 60 3
36107.0 ETME107 "MANUFACTURING PROCESS" 14 46 60 2
27109.0 ETCS109 "INTRODUCTION TO COMPUTERS AND AUTO CAD" 18 44 62 3
99111.0 ETEL111 "COMMUNICATION SKILLS - I" 17 55 72 3
99113.0 ETEL113 "IMPACT OF SCIENCE & TECHNOLOGY ON SOCIETY" 0 68 68 1
99151.0 ETPH151 "APPLIED PHYSICS LAB - I" 31 46 77 1
99153.0 ETCH153 "ENGINEERING CHEMISTRY LAB" 35 59 94 1
27155.0 ETCS155 "INTRODUCTION TO AUTO CAD OFFICE AUTOMATION AND WEB DESIGN" 39 48 87 2
36157.0 ETME157 "WORKSHOP PRACTICE" 34 50 84 2
36159.0 ETME159 "ENGINEERING GRAPHICS LAB" 34 59 93 1
