SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
27202.0 ETCS202 "SOFTWARE ENGINEERING" 20 48 68 4
27204.0 ETCS204 "ALGORITHM ANALYSIS & DESIGN" 20 45 65 4
28206.0 ETEC206 "DIGITAL CIRCUITS & SYSTEMS - I" 19 37 56 4
31208.0 ETIT208 "COMMUNICATION SYSTEMS" 16 43 59 4
27210.0 ETCS210 "COMPUTER GRAPHICS" 19 45 64 4
27212.0 ETCS212 "OPERATING SYSTEMS" 14 43 57 4
27252.0 ETCS252 "SOFTWARE ENGINEERING LAB" 35 52 87 1
27254.0 ETCS254 "ALGORITHM ANALYSIS AND DESIGN LAB" 33 39 72 1
28256.0 ETEC256 "DIGITAL CIRCUITS & SYSTEMS - I LAB" 35 43 78 1
27258.0 ETCS258 "COMPUTER GRAPHICS LAB" 32 49 81 1
