SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
27202.0 ETCS202 "SOFTWARE ENGINEERING" 23 41 64 4
27204.0 ETCS204 "ALGORITHM ANALYSIS & DESIGN" 21 60 81 4
28206.0 ETEC206 "DIGITAL CIRCUITS & SYSTEMS - I" 21 39 60 4
31208.0 ETIT208 "COMMUNICATION SYSTEMS" 18 42 60 4
27210.0 ETCS210 "COMPUTER GRAPHICS" 21 44 65 4
27212.0 ETCS212 "OPERATING SYSTEMS" 19 42 61 4
27252.0 ETCS252 "SOFTWARE ENGINEERING LAB" 35 47 82 1
27254.0 ETCS254 "ALGORITHM ANALYSIS AND DESIGN LAB" 34 50 84 1
28256.0 ETEC256 "DIGITAL CIRCUITS & SYSTEMS - I LAB" 27 51 78 1
27258.0 ETCS258 "COMPUTER GRAPHICS LAB" 38 51 89 1
