SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
99201.0 ETMA201 "APPLIED MATHEMATICS - III" 10 38 48 0
27203.0 ETCS203 "ANALOG ELECTRONICS" 8 42 50 4
28205.0 ETEC205 "CIRCUITS AND SYSTEMS" 6 43 50 4
27207.0 ETCS207 "FOUNDATIONS OF COMPUTER SYSTEMS" 19 37 56 4
31209.0 ETIT209 "OBJECT ORIENTED PROGRAMMING USING C++" 20 43 63 4
27211.0 ETCS211 "DATA STRUCTURES" 18 50 68 4
27251.0 ETCS251 "ANALOG ELECTRONICS LAB" 31 37 68 1
28253.0 ETEC253 "CIRCUITS & SYSTEMS LAB" 34 38 72 1
31255.0 ETIT255 "OBJECT ORIENTED PROGRAMMING USING C++ LAB" 36 51 87 1
27257.0 ETCS257 "DATA STRUCTURE LAB" 35 44 79 1
