SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
99102.0 ETMA102 "APPLIED MATHEMATICS - II" 17 58 75 4
99104.0 ETPH104 "APPLIED PHYSICS - II" 17 45 62 3
99106.0 ETCH106 "ENVIRONMENTAL STUDIES" 23 51 74 3
27108.0 ETCS108 "INTRODUCTION TO PROGRAMMING" 23 65 88 3
36110.0 ETME110 "ENGINEERING MECHANICS" 15 66 81 3
28112.0 ETEC112 "ELECTRICAL SCIENCE" 13 59 72 3
99114.0 ETEL114 "COMMUNICATION SKILLS - II" 17 53 70 3
99152.0 ETPH152 "APPLIED PHYSICS LAB - II" 36 48 84 1
99154.0 ETCH154 "ENVIRONMENTAL STUDIES LAB." 35 52 87 1
27156.0 ETCS156 "C PROGRAMMING LAB" 40 58 98 1
36158.0 ETME158 "ENGINEERING MECHANICS LAB." 34 50 84 2
28160.0 ETEC160 "ELECTRICAL SCIENCE LAB" 33 54 87 1
