SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
99101.0 ETMA101 "APPLIED MATHEMATICS - I" 18 46 64 4
99103.0 ETPH103 "APPLIED PHYSICS - I" 18 56 74 3
99105.0 ETCH105 "ENGINEERING CHEMISTRY" 19 41 60 3
36107.0 ETME107 "MANUFACTURING PROCESS" 18 53 71 2
27109.0 ETCS109 "INTRODUCTION TO COMPUTERS AND AUTO CAD" 20 52 72 3
99111.0 ETEL111 "COMMUNICATION SKILLS - I" 18 50 68 3
99113.0 ETEL113 "IMPACT OF SCIENCE & TECHNOLOGY ON SOCIETY" 0 68 68 1
99151.0 ETPH151 "APPLIED PHYSICS LAB - I" 34 48 82 1
99153.0 ETCH153 "ENGINEERING CHEMISTRY LAB" 35 59 94 1
27155.0 ETCS155 "INTRODUCTION TO AUTO CAD OFFICE AUTOMATION AND WEB DESIGN" 38 49 87 2
36157.0 ETME157 "WORKSHOP PRACTICE" 34 44 78 2
36159.0 ETME159 "ENGINEERING GRAPHICS LAB" 34 59 93 1
