SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
99101.0 ETMA101 "APPLIED MATHEMATICS - I" 16 47 63 4
99103.0 ETPH103 "APPLIED PHYSICS - I" 17 52 69 3
99105.0 ETCH105 "ENGINEERING CHEMISTRY" 16 59 75 3
36107.0 ETME107 "MANUFACTURING PROCESS" 19 57 76 2
27109.0 ETCS109 "INTRODUCTION TO COMPUTERS AND AUTO CAD" 19 64 83 3
99111.0 ETEL111 "COMMUNICATION SKILLS - I" 16 63 79 3
99113.0 ETEL113 "IMPACT OF SCIENCE & TECHNOLOGY ON SOCIETY" 0 86 86 1
99151.0 ETPH151 "APPLIED PHYSICS LAB - I" 31 53 84 1
99153.0 ETCH153 "ENGINEERING CHEMISTRY LAB" 36 56 92 1
27155.0 ETCS155 "INTRODUCTION TO AUTO CAD OFFICE AUTOMATION AND WEB DESIGN" 34 48 82 2
36157.0 ETME157 "WORKSHOP PRACTICE" 37 56 93 2
36159.0 ETME159 "ENGINEERING GRAPHICS LAB" 29 59 88 1
