SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
99101.0 ETMA101 "APPLIED MATHEMATICS - I" 18 74 92 4
99103.0 ETPH103 "APPLIED PHYSICS - I" 23 68 91 3
99105.0 ETCH105 "ENGINEERING CHEMISTRY" 25 63 88 3
36107.0 ETME107 "MANUFACTURING PROCESS" 21 60 81 2
27109.0 ETCS109 "INTRODUCTION TO COMPUTERS AND AUTO CAD" 21 63 84 3
99111.0 ETEL111 "COMMUNICATION SKILLS - I" 22 63 85 3
99113.0 ETEL113 "IMPACT OF SCIENCE & TECHNOLOGY ON SOCIETY" 0 72 72 1
99151.0 ETPH151 "APPLIED PHYSICS LAB - I" 32 50 82 1
99153.0 ETCH153 "ENGINEERING CHEMISTRY LAB" 35 59 94 1
27155.0 ETCS155 "INTRODUCTION TO AUTO CAD OFFICE AUTOMATION AND WEB DESIGN" 34 45 79 2
36157.0 ETME157 "WORKSHOP PRACTICE" 35 49 84 2
36159.0 ETME159 "ENGINEERING GRAPHICS LAB" 35 59 94 1
