SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
27202.0 ETCS202 "SOFTWARE ENGINEERING" 22 50 72 4
27204.0 ETCS204 "ALGORITHM ANALYSIS & DESIGN" 21 61 82 4
28206.0 ETEC206 "DIGITAL CIRCUITS & SYSTEMS - I" 17 36 53 4
31208.0 ETIT208 "COMMUNICATION SYSTEMS" 19 56 75 4
27210.0 ETCS210 "COMPUTER GRAPHICS" 23 57 80 4
27212.0 ETCS212 "OPERATING SYSTEMS" 18 55 73 4
27252.0 ETCS252 "SOFTWARE ENGINEERING LAB" 34 58 92 1
27254.0 ETCS254 "ALGORITHM ANALYSIS AND DESIGN LAB" 36 54 90 1
28256.0 ETEC256 "DIGITAL CIRCUITS & SYSTEMS - I LAB" 29 47 76 1
27258.0 ETCS258 "COMPUTER GRAPHICS LAB" 39 52 91 1
