SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
99201.0 ETMA201 "APPLIED MATHEMATICS - III" 13 45 58 4
27203.0 ETCS203 "ANALOG ELECTRONICS" 7 43 50 4
28205.0 ETEC205 "CIRCUITS AND SYSTEMS" 11 40 51 4
27207.0 ETCS207 "FOUNDATIONS OF COMPUTER SYSTEMS" 19 40 59 4
31209.0 ETIT209 "OBJECT ORIENTED PROGRAMMING USING C++" 19 45 64 4
27211.0 ETCS211 "DATA STRUCTURES" 20 45 65 4
27251.0 ETCS251 "ANALOG ELECTRONICS LAB" 32 38 70 1
28253.0 ETEC253 "CIRCUITS & SYSTEMS LAB" 30 48 78 1
31255.0 ETIT255 "OBJECT ORIENTED PROGRAMMING USING C++ LAB" 32 50 82 1
27257.0 ETCS257 "DATA STRUCTURE LAB" 30 46 76 1
