SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
99201.0 ETMA201 "APPLIED MATHEMATICS - III" 20 46 66 4
27203.0 ETCS203 "ANALOG ELECTRONICS" 22 46 68 4
28205.0 ETEC205 "CIRCUITS AND SYSTEMS" 14 49 63 4
27207.0 ETCS207 "FOUNDATIONS OF COMPUTER SYSTEMS" 21 52 73 4
31209.0 ETIT209 "OBJECT ORIENTED PROGRAMMING USING C++" 22 58 80 4
27211.0 ETCS211 "DATA STRUCTURES" 25 60 85 4
27251.0 ETCS251 "ANALOG ELECTRONICS LAB" 36 40 76 1
28253.0 ETEC253 "CIRCUITS & SYSTEMS LAB" 37 50 87 1
31255.0 ETIT255 "OBJECT ORIENTED PROGRAMMING USING C++ LAB" 37 51 88 1
27257.0 ETCS257 "DATA STRUCTURE LAB" 38 56 94 1
