SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
28301.0 ETEC301 "DIGITAL CIRCUITS & SYSTEMS - II" 19 60 79 4
31303.0 ETIT303 "JAVA PROGRAMMING AND WEBSITE DESIGN" 23 53 76 4
27305.0 ETCS305 "COMPUTER ARCHITECTURE" 20 54 74 4
27307.0 ETCS307 "LINUX AND X-WINDOWS PROGRAMMING" 20 60 80 4
27309.0 ETCS309 "DATA BASE MANAGEMENT SYSTEMS" 19 57 76 4
29311.0 ETMS311 "ORGANIZATIONAL BEHAVIOUR" 25 52 77 4
28351.0 ETEC351 "DIGITAL CIRCUITS & SYSTEMS - II LAB." 34 51 85 1
31353.0 ETIT353 "JAVA PROGRAMMING AND WEBSITE DESIGN LAB" 37 55 92 1
27355.0 ETCS355 "LINUX AND X-WINDOWS PROGRAMMING LAB" 35 48 83 1
27357.0 ETCS357 "DATA BASE MANAGEMENT SYSTEMS LAB." 34 57 91 1
