SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
28301.0 ETEC301 "DIGITAL CIRCUITS & SYSTEMS - II" 16 52 68 4
31303.0 ETIT303 "JAVA PROGRAMMING AND WEBSITE DESIGN" 8 53 61 4
27305.0 ETCS305 "COMPUTER ARCHITECTURE" 15 42 57 4
27307.0 ETCS307 "LINUX AND X-WINDOWS PROGRAMMING" 17 29 50 4
27309.0 ETCS309 "DATA BASE MANAGEMENT SYSTEMS" 9 52 61 4
29311.0 ETMS311 "ORGANIZATIONAL BEHAVIOUR" 18 38 56 4
28351.0 ETEC351 "DIGITAL CIRCUITS & SYSTEMS - II LAB." 34 43 77 1
31353.0 ETIT353 "JAVA PROGRAMMING AND WEBSITE DESIGN LAB" 28 45 73 1
27355.0 ETCS355 "LINUX AND X-WINDOWS PROGRAMMING LAB" 30 40 70 1
27357.0 ETCS357 "DATA BASE MANAGEMENT SYSTEMS LAB." 29 52 81 1
