SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
99102.0 ETMA102 "APPLIED MATHEMATICS - II" 16 59 75 4
99104.0 ETPH104 "APPLIED PHYSICS - II" 15 60 75 3
99106.0 ETCH106 "ENVIRONMENTAL STUDIES" 22 34 56 3
27108.0 ETCS108 "INTRODUCTION TO PROGRAMMING" 19 53 72 3
36110.0 ETME110 "ENGINEERING MECHANICS" 11 57 68 3
28112.0 ETEC112 "ELECTRICAL SCIENCE" 10 61 71 3
99114.0 ETEL114 "COMMUNICATION SKILLS - II" 12 58 70 3
99152.0 ETPH152 "APPLIED PHYSICS LAB - II" 33 46 79 1
99154.0 ETCH154 "ENVIRONMENTAL STUDIES LAB." 35 50 85 1
27156.0 ETCS156 "C PROGRAMMING LAB" 35 53 88 1
36158.0 ETME158 "ENGINEERING MECHANICS LAB." 33 48 81 2
28160.0 ETEC160 "ELECTRICAL SCIENCE LAB" 34 47 81 1
