SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
28301.0 ETEC301 "DIGITAL CIRCUITS & SYSTEMS - II" 16 43 59 4
31303.0 ETIT303 "JAVA PROGRAMMING AND WEBSITE DESIGN" 18 55 73 4
27305.0 ETCS305 "COMPUTER ARCHITECTURE" 17 44 61 4
27307.0 ETCS307 "LINUX AND X-WINDOWS PROGRAMMING" 17 37 54 4
27309.0 ETCS309 "DATA BASE MANAGEMENT SYSTEMS" 15 46 61 4
29311.0 ETMS311 "ORGANIZATIONAL BEHAVIOUR" 21 60 81 4
28351.0 ETEC351 "DIGITAL CIRCUITS & SYSTEMS - II LAB." 32 47 79 1
31353.0 ETIT353 "JAVA PROGRAMMING AND WEBSITE DESIGN LAB" 30 42 72 1
27355.0 ETCS355 "LINUX AND X-WINDOWS PROGRAMMING LAB" 31 40 71 1
27357.0 ETCS357 "DATA BASE MANAGEMENT SYSTEMS LAB." 31 41 72 1
