SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
27202.0 ETCS202 "SOFTWARE ENGINEERING" 16 36 52 4
27204.0 ETCS204 "ALGORITHM ANALYSIS & DESIGN" 18 35 53 4
28206.0 ETEC206 "DIGITAL CIRCUITS & SYSTEMS - I" 10 40 50 4
31208.0 ETIT208 "COMMUNICATION SYSTEMS" 14 37 51 4
27210.0 ETCS210 "COMPUTER GRAPHICS" 11 41 52 4
27212.0 ETCS212 "OPERATING SYSTEMS" 14 39 53 4
27252.0 ETCS252 "SOFTWARE ENGINEERING LAB" 31 43 74 1
27254.0 ETCS254 "ALGORITHM ANALYSIS AND DESIGN LAB" 32 44 76 1
28256.0 ETEC256 "DIGITAL CIRCUITS & SYSTEMS - I LAB" 30 43 73 1
27258.0 ETCS258 "COMPUTER GRAPHICS LAB" 33 45 78 1
