SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
99201.0 ETMA201 "APPLIED MATHEMATICS - III" 13 37 50 4
27203.0 ETCS203 "ANALOG ELECTRONICS" 12 46 58 4
28205.0 ETEC205 "CIRCUITS AND SYSTEMS" 7 43 50 4
27207.0 ETCS207 "FOUNDATIONS OF COMPUTER SYSTEMS" 18 45 63 4
31209.0 ETIT209 "OBJECT ORIENTED PROGRAMMING USING C++" 20 47 67 4
27211.0 ETCS211 "DATA STRUCTURES" 13 39 52 4
27251.0 ETCS251 "ANALOG ELECTRONICS LAB" 33 35 68 1
28253.0 ETEC253 "CIRCUITS & SYSTEMS LAB" 32 31 63 1
31255.0 ETIT255 "OBJECT ORIENTED PROGRAMMING USING C++ LAB" 33 52 85 1
27257.0 ETCS257 "DATA STRUCTURE LAB" 31 44 75 1
