SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
99101.0 ETMA101 "APPLIED MATHEMATICS - I" 17 52 69 4
99103.0 ETPH103 "APPLIED PHYSICS - I" 19 57 76 3
99105.0 ETCH105 "ENGINEERING CHEMISTRY" 17 38 55 3
36107.0 ETME107 "MANUFACTURING PROCESS" 15 50 65 2
27109.0 ETCS109 "INTRODUCTION TO COMPUTERS AND AUTO CAD" 19 58 77 3
99111.0 ETEL111 "COMMUNICATION SKILLS - I" 18 61 79 3
99113.0 ETEL113 "IMPACT OF SCIENCE & TECHNOLOGY ON SOCIETY" 0 80 80 1
99151.0 ETPH151 "APPLIED PHYSICS LAB - I" 36 37 73 1
99153.0 ETCH153 "ENGINEERING CHEMISTRY LAB" 36 59 95 1
27155.0 ETCS155 "INTRODUCTION TO AUTO CAD OFFICE AUTOMATION AND WEB DESIGN" 36 49 85 2
36157.0 ETME157 "WORKSHOP PRACTICE" 35 42 77 2
36159.0 ETME159 "ENGINEERING GRAPHICS LAB" 35 59 94 1
