SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
99101.0 ETMA101 "APPLIED MATHEMATICS - I" 23 74 97 4
99103.0 ETPH103 "APPLIED PHYSICS - I" 24 70 94 3
99105.0 ETCH105 "ENGINEERING CHEMISTRY" 21 69 90 3
36107.0 ETME107 "MANUFACTURING PROCESS" 16 66 82 2
27109.0 ETCS109 "INTRODUCTION TO COMPUTERS AND AUTO CAD" 23 60 83 3
99111.0 ETEL111 "COMMUNICATION SKILLS - I" 18 60 78 3
99113.0 ETEL113 "IMPACT OF SCIENCE & TECHNOLOGY ON SOCIETY" 0 70 70 1
99151.0 ETPH151 "APPLIED PHYSICS LAB - I" 34 56 90 1
99153.0 ETCH153 "ENGINEERING CHEMISTRY LAB" 37 59 96 1
27155.0 ETCS155 "INTRODUCTION TO AUTO CAD OFFICE AUTOMATION AND WEB DESIGN" 37 48 85 2
36157.0 ETME157 "WORKSHOP PRACTICE" 35 52 87 2
36159.0 ETME159 "ENGINEERING GRAPHICS LAB" 36 59 95 1
