SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
27202.0 ETCS202 "SOFTWARE ENGINEERING" 22 46 68 4
27204.0 ETCS204 "ALGORITHM ANALYSIS & DESIGN" 24 39 63 4
28206.0 ETEC206 "DIGITAL CIRCUITS & SYSTEMS - I" 19 37 56 4
31208.0 ETIT208 "COMMUNICATION SYSTEMS" 21 52 73 4
27210.0 ETCS210 "COMPUTER GRAPHICS" 21 45 66 4
27212.0 ETCS212 "OPERATING SYSTEMS" 17 58 75 4
27252.0 ETCS252 "SOFTWARE ENGINEERING LAB" 36 47 83 1
27254.0 ETCS254 "ALGORITHM ANALYSIS AND DESIGN LAB" 35 46 81 1
28256.0 ETEC256 "DIGITAL CIRCUITS & SYSTEMS - I LAB" 36 47 83 1
27258.0 ETCS258 "COMPUTER GRAPHICS LAB" 35 51 86 1
