SUBJECT_ID SUBJECT_CODE SUBJECT_NAME INTERNAL_MARKS EXTERNAL_MARKS TOTAL_MARKS CREDITS_SECURED
99201.0 ETMA201 "APPLIED MATHEMATICS - III" 18 32 50 4
27203.0 ETCS203 "ANALOG ELECTRONICS" 11 37 50 4
28205.0 ETEC205 "CIRCUITS AND SYSTEMS" 5 45 50 4
27207.0 ETCS207 "FOUNDATIONS OF COMPUTER SYSTEMS" 9 40 50 4
31209.0 ETIT209 "OBJECT ORIENTED PROGRAMMING USING C++" 10 40 50 4
27211.0 ETCS211 "DATA STRUCTURES" 21 37 58 4
27251.0 ETCS251 "ANALOG ELECTRONICS LAB" 31 44 75 1
28253.0 ETEC253 "CIRCUITS & SYSTEMS LAB" 28 42 70 1
31255.0 ETIT255 "OBJECT ORIENTED PROGRAMMING USING C++ LAB" 29 48 77 1
27257.0 ETCS257 "DATA STRUCTURE LAB" 27 53 80 1
